Q1;Q2;Q3;Q4;Q16;Q17;Q14;Q5;Q28;Q6;Q7;Q9;Q15;Q10;Q12;Q18;Q18_4_TEXT;Q24_1;Q24_2;Q24_3;Q24_4;Q26_1;Q26_2;Q26_3;Q26_4;Q21;Q22_1;Q22_2;Q22_3;Q22_4;Q22_5;Q22_6;Q22_7;Q22_8;Q22_9;Q22_10;Q22_11;Q22_12;Q22_13;Q23_1;Q23_2;Q23_3;Q23_4;Q23_5;Q23_6;Q23_7;Q23_8;Q23_9;Q23_10;Q23_11;Q23_12;Q23_13;Q23_14;Q23_15;Q23_16;Q23_17;Q23_18;Q23_19;Q23_20;Q27_1;Q27_2;Q27_3;Q27_4;Q27_5;Q27_6;Q27_7;Q27_8;Q27_9;Q27_10;Q29_1;Q29_2;Q29_3;Q29_4;Q29_5;Q29_6;Q29_7;Q29_8;Q29_9;Q29_10;Q29_11;Q29_12;Q29_13;Q29_14;Q29_15;Q29_16;Q29_17;Q29_18;Q29_19;Q29_20;Q29_21;Q29_22;Q29_23;Q29_24;Q29_25;Q29_26;Q29_27;Q29_28;Q29_29;Q29_30;Q29_31;Q29_32;Q29_33;Q29_34;Q29_35;Q29_36;Q29_37;Q29_38;Q29_39;Q29_40;Q29_41;Q29_42;Q29_43;Q29_44;Q29_45;Q29_46;Q29_47;Q29_48;Q29_49;Q29_50;Q29_51;Q29_52;Q29_53;Q29_54;Q29_55;Q29_56;Q29_57;Q29_58;Q29_59;Q29_60
survey_language_used;gender;age;country_birth;other_country_birth;age_arrive_in_Spain;autonomous_community;ethnic_origin;identity;neighborhood;level_of_education;employment;type_school;family_income;political_orientation;mother_tongue;other_mother_tongue;catalan_proficiency_understand;catalan_proficiency_speak;catalan_proficiency_read;catalan_proficiency_write;spanish_proficiency_understand;spanish_proficiency_speak;spanish_proficiency_read;spanish_proficiency_write;languages_studied;language_used_with_father;language_used_with_mother;language_used_with_sibilings;language_used_with_grandparents;language_used_with_friends;language_used_with_neighbours;language_used_with_partner;language_used_with_relatives;language_used_with_teachers;language_used_with_classmates;language_used_with_coworkers;language_used_with_immigrants;language_used_with_children;language_watch_TV;language_read;language_music;language_radio;language_movies;language_small_business;language_large_stores;language_financial_entities;language_administration;language_health_care;language_home;language_work;language_school;language_count;language_angry;language_social_networks;language_public_transportation;language_phone;language_taking_notes;language_law_enforcement;Balearic_Islands_native_language;Balearic_Islands_official_language;Balearic_Islands_should_speak;Balearic_Islands_language_public_administration;Balearic_Islands_language_health_care;Balearic_Islands_language_public_education;Balearic_Islands_language_media;Balearic_Islands_language_institutional_acts;Balearic_Islands_host_language_immigrants;Balearic_Islands_language_residents_learn;I_like_that_people_use_Catalan;I_like_that_people_use_Spanish;I_like_listening_to_Catalan;I_like_listening_to_Spanish;I_like_to_use_Catalan;I_like_to_use_Spanish;Catalan_is_a_difficult_language_to_learn;Spanish _is_a_difficult_language_to_learn;Catalan_is_a_beautiful_language;Spanish_is_a_beautiful_language;I_try_to_use_Catalan_whenever_I_can;I_try_to_use_Spanish_whenever_I_can;It_is_worth_learning_Catalan;It_is_worth_learning_Spanish;Catalan_is_in_danger_of_disappearing_in_the_Balearic_Islands;Spanish_is_in_danger_of_disappearing_in_the_Balearic_Islands;No_language_is_more_important_than_the_other;Catalan_can_become_an_important_language_in_the_European_context;Spanish_can_become_an_important_language_in_the_European_context;Sometimes_I_feel_compelled_to_use_Catalan;Sometimes_I_feel_compelled_to_use_Spanish;It_is_unpleasant_to_learn_Catalan;It_is_unpleasant_to_learn_Spanish;It_is_boring_to_learn_Catalan;Learning_Spanish_is_boring;People_should_put_more_effort_into_using_Catalan;People_should_put_more_effort_into_using_Spanish;I_live_in_the_Balearic_Islands_and_I have_to_know_study_and_use_Catalan;I_live_in_the_Balearic_Islands_and_I_have_to_know_study_and_use_Spanish;Catalan_is_a_language_that_sounds_bad;Spanish_is_a_language_that_sounds_bad;It_bothers_me_when_a_stranger_chats_with_me_in_Catalan;It_bothers_me_when_a_stranger_chats_with_me_in_Spanish;It_is_not_good_manners_to_answer_in_Catalan_to_someone_who_speaks_to_you_in_Spanish;It_is_not_good_manners_to_answer_in_Spanish_to_someone_who_speaks_Catalan;Catalan_is_as_important_as_English;Spanish_is_as_important_as_English;If_I_have_children_I_would_like_them_to_speak_Catalan;If_I_have_children_I_would_like_them_to_speak_Spanish;Since_we_all_speak_Spanish_it_is_not_necessary_that_people_who_come_from_other_Autonomous_Communities_or_Spanish_speaking_countries_learn_Catalan;It_should_be_mandatory_for_all_students_from_the_Balearic_Islands_to_take_at_least_50_of_their_subjects_in_Catalan;It_should_be_mandatory_for_all_students_from_the_Balearic_Islands_to_take_at_least_50_of_their_subjects_in_Spanish;Catalan_is_a_rural_language;Spanish_is_more_fashionable_than_Catalan;For_healthcare_staff_it_is_more_important_to_know_Catalan_than_Spanish;For_healthcare_staff_it_is_more_important_to_know_Spanish_than_Catalan;Studying_Catalan_will_be_very_useful_for_me_in_the_future_to_find_a_job;Studying_Spsnish_will_be_very_useful_for_me_in_the_future_to_find_a_job;It_is_necessary_to_learn_Catalan_to_fully_integrate_in_the_Balearic_Islands;Catalan_is_the_language_that_should_predominate_in_the_Balearic_Islands;Spanish_is_the_language_that_should_predominate_in_the_Balearic_Islands;Catalan_should_be_a_voluntary_subject_in_schools_and_high_schools_in_the_Balearic_Islands;Spanish_should_be_a_voluntary_subject_in_schools_and_high_schools_in_the_Balearic_Islands;An_outsider_will_find_it_less_difficult_to_learn_Spanish_than_Catalan;All_people_living_in_the_Balearic_Islands_should_know_Catalan_and_Spanish;Fewer_and_fewer_people_know_Catalan;Fewer_and_fewer_people_know_Spanish;Catalan_serves_for_some_areas_and_Spanish_for_others;Catalan_must_be_a_requirement_to_hold_a_job_in_the_public_administration;Catalan_is_an_identity_element_of_the_Balearic_Islands
CA;Male;23;Spain;;;Balearic islands;Western Europe;Palmesan,Mallorcan,Balearic,Catalan,Catalan countries;Son Armadans;University studies or equivalent;Student;Public;I prefer not to say;Center-Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;2;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);N/A;Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);N/A;Catalan and Spanish (50%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;100;0;100;30;100;10;50;50;100;60;100;0;100;50;100;0;100;100;100;0;100;0;0;0;0;100;0;100;0;0;0;0;0;0;0;100;100;100;60;0;100;0;0;0;50;0;50;50;100;100;0;0;100;0;50;100;0;0;100;100
ES-ES;Female;25;Spain;;;Balearic islands;Western Europe;Spanish;Son Oliva;University studies or equivalent;Full-time employment;;Between 35,200 and 59,999 EUR;Center-Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;2;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);N/A;More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan only (100%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan only (100%);Catalan and Spanish (50%);Catalan;Both languages;Both languages;Catalan;Both languages;Catalan;Catalan;Catalan;Catalan;Both languages;100;50;100;51;100;50;81;51;100;100;100;4;50;99;100;3;6;5;100;5;100;10;6;7;6;100;3;100;32;3;3;4;47;95;95;3;100;100;49;5;100;9;75;74;51;83;6;100;73;100;3;3;3;100;100;100;3;100;100;100
ES-ES;Female;48;Spain;;;Balearic islands;Western Europe;Spanish;Cas Capiscol;University studies or equivalent;Full-time employment;;Between 60,000 and 299,999 EUR;Center-Right;Spanish;;Well;Well;Well;Well;Well;Well;Well;Well;2;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Spanish only (100%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;100;100;100;100;100;100;30;30;10;100;100;100;100;100;5;6;100;6;100;5;5;5;5;5;5;70;70;100;100;5;5;5;5;100;100;40;99;100;100;5;100;100;5;5;5;100;100;100;100;5;5;5;5;5;100;5;5;5;80;100
ES-ES;Male;25;Spain;;;Balearic islands;Western Europe;Palmesan,Mallorcan,Balearic,Catalan countries,Spanish,European;El Rafal Vell;University studies or equivalent;Full-time employment;;Between 12,450 and 20,199 EUR;Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;2;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);More Spanish than Catalan (75%);N/A;Catalan only (100%);More Catalan than Spanish (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Spanish only (100%);N/A;More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Spanish only (100%);Catalan and Spanish (50%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan only (100%);More Catalan than Spanish (75%);N/A;Catalan;Both languages;Both languages;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Both languages;100;67;100;61;100;85;40;40;100;100;49;80;100;100;80;0;90;70;69;0;100;0;0;0;0;100;0;100;100;0;0;0;0;19;19;75;76;100;81;0;100;0;0;49;79;59;76;85;100;100;25;0;0;0;100;70;0;0;100;100
CA;Male;27;Spain;;;Balearic islands;Western Europe;Mallorcan,Catalan countries,European;Plaça de Toros;University studies or equivalent;Full-time employment;;I prefer not to say;Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;3 or more;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);N/A;More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);N/A;More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Spanish only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;100;50;100;50;100;50;6;6;100;100;100;50;100;100;100;5;100;100;100;2;100;4;5;4;7;100;6;100;50;6;6;6;6;6;5;100;100;100;100;5;100;5;5;4;50;0;100;5;100;100;5;0;5;3;4;60;0;3;100;100
ES-ES;Female;24;Spain;;;Balearic islands;Western Europe;Palmesan,Mallorcan,Balearic,Spanish;Pere Garau;University studies or equivalent;Full-time employment;;Between 12,450 and 20,199 EUR;Center-Left;Both;;Well;Well;Well;Well;Well;Well;Well;Well;3 or more;Catalan only (100%);More Spanish than Catalan (75%);Spanish only (100%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Others;Catalan and Spanish (50%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);N/A;More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Both languages;Both languages;Both languages;Both languages;Both languages;Catalan;Both languages;Both languages;Both languages;Both languages;100;100;100;100;100;100;51;50;100;100;72;70;70;100;30;0;100;50;100;0;0;0;0;0;0;65;0;100;100;0;0;0;0;0;0;20;40;70;100;0;82;14;0;0;1;0;29;100;100;81;36;0;0;0;80;0;0;0;75;100
ES-ES;Female;25;Spain;;;Balearic islands;Western Europe;Mallorcan,Balearic,Spanish,European;Sant Jordi;University studies or equivalent;Part-time employment;;Between 20,200 and 35,199 EUR;Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;1;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Spanish only (100%);N/A;More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan only (100%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Both languages;Both languages;Both languages;Both languages;Both languages;Catalan;Catalan;Both languages;Both languages;Both languages;100;53;100;69;100;24;5;6;100;67;100;4;100;85;100;5;78;15;12;5;100;0;0;0;0;100;32;100;48;0;0;0;0;0;0;100;100;100;61;0;100;0;0;81;71;68;0;0;100;100;0;0;0;0;100;100;0;0;100;100
CA;Male;25;Spain;;;Balearic islands;Western Europe;Mallorcan;Son Sardina;University studies or equivalent;Full-time employment;;Between 20,200 and 35,199 EUR;Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;1;Spanish only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Spanish only (100%);N/A;More Spanish than Catalan (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Spanish only (100%);Catalan only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan only (100%);More Spanish than Catalan (75%);Catalan;Both languages;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Both languages;100;100;100;100;100;100;40;40;100;100;70;100;100;100;100;1;1;40;80;1;70;1;1;50;50;100;1;100;20;1;1;1;1;1;1;10;70;100;1;1;100;1;80;100;1;100;10;100;100;100;1;1;50;1;100;100;1;100;100;100
ES-ES;Female;24;Spain;;;Balearic islands;Western Europe;Mallorcan;Camp Redó;University studies or equivalent;Full-time employment;;Between 35,200 and 59,999 EUR;Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;1;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);N/A;More Spanish than Catalan (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Catalan only (100%);Spanish only (100%);More Catalan than Spanish (75%);Catalan and Spanish (50%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Catalan;Both languages;Both languages;Both languages;Both languages;Both languages;Catalan;Catalan;Spanish;Both languages;100;100;100;75;100;100;1;1;100;50;100;50;100;100;100;0;100;30;100;0;80;0;0;0;0;100;0;100;100;0;0;0;0;20;20;0;100;100;100;70;50;50;0;0;0;0;50;100;0;0;0;0;0;61;100;100;0;0;50;100
